Date;TLT 20Y;DOW JONES COMPOSITE
2005-02-25;70.818;3423.2
2005-02-28;70.056;3408.09
2005-03-01;69.815;3427.49
2005-03-02;69.727;3423.44
2005-03-03;69.684;3431.79
2005-03-04;70.434;3481.04
2005-03-07;70.722;3495.44
2005-03-08;70.048;3485.77
2005-03-09;68.904;3446.91
2005-03-10;69.328;3453.69
2005-03-11;68.819;3440.07
2005-03-14;69.233;3463.65
2005-03-15;68.796;3440.44
2005-03-16;69.218;3401.86
2005-03-17;69.441;3412.4
2005-03-18;69.003;3404.45
2005-03-21;68.812;3393.22
2005-03-22;68.227;3365.84
2005-03-23;68.554;3351.54
2005-03-24;68.695;3362.77
2005-03-28;68.275;3369.51
2005-03-29;68.678;3329.49
2005-03-30;69.019;3377.32
2005-03-31;69.515;3373.19
2005-04-01;69.492;3353.0
2005-04-04;69.476;3363.08
2005-04-05;69.304;3377.31
2005-04-06;69.54;3377.35
2005-04-07;68.982;3394.31
2005-04-08;69.225;3341.36
2005-04-11;69.593;3351.06
2005-04-12;70.242;3376.99
2005-04-13;70.072;3329.11
2005-04-14;69.963;3272.87
2005-04-15;70.886;3213.48
2005-04-18;70.833;3221.01
2005-04-19;71.517;3250.99
2005-04-20;71.341;3211.74
2005-04-21;70.592;3285.32
2005-04-22;71.187;3258.62
2005-04-25;71.394;3286.61
2005-04-26;71.287;3246.63
2005-04-27;71.534;3262.79
2005-04-28;72.064;3231.47
2005-04-29;71.941;3270.3
2005-05-02;71.665;3298.53
2005-05-03;71.859;3285.84
2005-05-04;71.232;3322.54
2005-05-05;71.394;3312.07
2005-05-06;70.864;3311.21
2005-05-09;70.932;3329.9
2005-05-10;71.439;3292.12
2005-05-11;71.657;3307.44
2005-05-12;71.941;3257.21
2005-05-13;72.219;3224.83
2005-05-16;72.136;3264.27
2005-05-17;72.337;3296.93
2005-05-18;72.816;3344.95
2005-05-19;72.633;3357.87
2005-05-20;72.713;3355.07
2005-05-23;73.288;3361.72
2005-05-24;73.481;3360.55
2005-05-25;72.977;3342.51
2005-05-26;72.953;3366.74
2005-05-27;73.027;3367.4
2005-05-31;73.928;3349.2
2005-06-01;74.566;3378.14
